,State_Name,Crop_Year,Season,Crop,Area,Production
75792,Jharkhand,2002,Autumn     ,Rice,4763.68,6347.45
212242,Uttar Pradesh,2014,Kharif     ,Rice,136673.0,294257.0
233358,Uttarakhand,2010,Rabi       ,Wheat,20956.0,48703.0
202224,Uttar Pradesh,2004,Whole Year ,Onion,477.0,5752.0
40578,Bihar,2003,Summer     ,Rice,20481.0,28023.0
228999,Uttar Pradesh,2011,Kharif     ,Sugarcane,2217.0,124338.0
186239,Tamil Nadu,2006,Whole Year ,Potato,1957.0,39498.0
28504,Bihar,2003,Whole Year ,Potato,2436.0,22857.0
94934,Karnataka,2014,Kharif     ,Rice,4617.0,10759.0
2331,Andhra Pradesh,2010,Rabi       ,Rice,172888.0,849917.0
11658,Arunachal Pradesh,2006,Rabi       ,Wheat,16.0,26.0
136982,Maharashtra,2003,Whole Year ,Onion,293.0,3654.0
110379,Madhya Pradesh,2005,Whole Year ,Onion,225.0,5136.0
66486,Haryana,2011,Whole Year ,Sugarcane,579.0,8000.0
25764,Assam,2005,Whole Year ,Potato,6815.0,48876.0
212544,Uttar Pradesh,2007,Rabi       ,Potato,2591.0,56940.0
46674,Chhattisgarh,2006,Kharif     ,Rice,239805.0,326040.0
27256,Bihar,2004,Autumn     ,Rice,24655.0,15306.0
27319,Bihar,2005,Rabi       ,Wheat,50729.0,32091.0
57058,Goa,2014,Whole Year ,Sugarcane,129.0,5767.0
217742,Uttar Pradesh,2013,Rabi       ,Potato,4138.0,104054.0
170629,Rajasthan,2008,Whole Year ,Potato,176.0,3690.0
109149,Madhya Pradesh,2008,Rabi       ,Wheat,30622.0,19352.0
223929,Uttar Pradesh,2014,Summer     ,Rice,552.0,1293.0
9585,Andhra Pradesh,2007,Rabi       ,Rice,192000.0,814000.0
85102,Karnataka,2013,Kharif     ,Potato,23.0,151.0
196921,Tripura,2003,Kharif     ,Rice,31740.0,62420.0
202826,Uttar Pradesh,2008,Kharif     ,Rice,123485.0,242401.0
61327,Gujarat,2004,Summer     ,Rice,2800.0,8100.0
26791,Assam,2009,Autumn     ,Rice,28494.0,23668.0
198422,Uttar Pradesh,2002,Rabi       ,Wheat,129806.0,428284.0
205807,Uttar Pradesh,2014,Rabi       ,Wheat,116552.0,315040.0
67493,Haryana,2002,Whole Year ,Onion,226.0,4400.0
235861,Uttarakhand,2004,Summer     ,Rice,7395.0,22022.0
144180,Nagaland,2002,Whole Year ,Potato,480.0,6250.0
219622,Uttar Pradesh,2009,Kharif     ,Rice,3434.0,2136.0
243254,West Bengal,2013,Rabi       ,Potato,5120.0,164736.0
192357,Telangana ,2011,Kharif     ,Rice,185727.0,601858.0
203626,Uttar Pradesh,2004,Whole Year ,Onion,197.0,2047.0
16876,Assam,2007,Summer     ,Rice,17.0,39.0
236583,West Bengal,2001,Autumn     ,Rice,32824.0,75912.0
192273,Telangana ,2008,Rabi       ,Wheat,14.0,16.0
216748,Uttar Pradesh,2004,Kharif     ,Rice,52802.0,126264.0
216965,Uttar Pradesh,2011,Rabi       ,Onion,460.0,10523.0
155283,Odisha,2015,Winter     ,Potato,108.0,1393.7
84246,Karnataka,2012,Summer     ,Rice,2708.0,7298.0
189600,Tamil Nadu,2009,Whole Year ,Cashewnut,713.0,357.0
16139,Assam,2001,Winter     ,Rice,50035.0,50854.0
148960,Odisha,2011,Winter     ,Sugarcane,138.0,6673.1
72410,Himachal Pradesh,2001,Whole Year ,Potato,199.0,1000.0
89964,Karnataka,2002,Summer     ,Rice,2098.0,3576.0
232750,Uttarakhand,2004,Rabi       ,Wheat,11991.0,19635.0
395,Andhra Pradesh,2002,Kharif     ,Rice,29066.0,66329.0
76486,Jharkhand,2005,Winter     ,Rice,44117.15,39999.55
157119,Odisha,2013,Summer     ,Rice,1000.0,3000.0
161176,Puducherry,2002,Whole Year ,Coconut ,313.0,3130000.0
37484,Bihar,2003,Winter     ,Rice,116374.0,121729.0
84867,Karnataka,2008,Rabi       ,Rice,552.0,947.0
125086,Madhya Pradesh,2010,Kharif     ,Rice,374.0,378.0
145255,Nagaland,2003,Whole Year ,Tea,100.0,130.0
163096,Punjab,2002,Whole Year ,Sugarcane,1000.0,50000.0
146401,Nagaland,2014,Rabi       ,Potato,560.0,5710.0
51340,Chhattisgarh,2013,Kharif     ,Rice,96026.0,127776.0
186311,Tamil Nadu,2011,Whole Year ,Potato,1786.0,45440.0
145456,Nagaland,2011,Rabi       ,Potato,1170.0,10580.0
231332,Uttar Pradesh,2006,Kharif     ,Rice,60959.0,95645.0
200211,Uttar Pradesh,2012,Rabi       ,Onion,165.0,3796.0
21149,Assam,2006,Autumn     ,Rice,10498.0,13150.0
69267,Haryana,2009,Kharif     ,Rice,30738.0,85000.0
238468,West Bengal,2010,Summer     ,Rice,189443.0,585863.0
47788,Chhattisgarh,2009,Whole Year ,Onion,319.0,1907.0
236318,Uttarakhand,2008,Kharif     ,Rice,10785.0,18180.0
99338,Kerala,2004,Summer     ,Rice,92.0,175.0
143014,Nagaland,2003,Whole Year ,Potato,1250.0,11780.0
138469,Manipur,2002,Whole Year ,Potato,370.0,1940.0
12262,Arunachal Pradesh,2003,Kharif     ,Rice,19355.0,22345.0
153742,Odisha,2003,Rabi       ,Wheat,32.0,30.8
2248,Andhra Pradesh,2008,Rabi       ,Onion,16.0,154.0
195337,Telangana ,2006,Rabi       ,Onion,1459.0,32455.0
85353,Karnataka,2005,Summer     ,Rice,2002.0,3907.0
63898,Gujarat,2009,Rabi       ,Wheat,104500.0,220000.0
217962,Uttar Pradesh,2004,Kharif     ,Sugarcane,1659.0,113267.0
17911,Assam,2004,Rabi       ,Wheat,2468.0,3445.0
66641,Haryana,2004,Whole Year ,Sugarcane,874.0,80000.0
80546,Karnataka,2006,Whole Year ,Onion,32.0,178.0
156961,Odisha,2004,Winter     ,Potato,288.0,3068.9
217996,Uttar Pradesh,2005,Whole Year ,Onion,465.0,5951.0
229893,Uttar Pradesh,2007,Rabi       ,Wheat,22193.0,35292.0
215865,Uttar Pradesh,2003,Rabi       ,Wheat,125419.0,329689.0
192162,Telangana ,2004,Whole Year ,Sugarcane,1289.0,91608.0
77411,Karnataka,2010,Whole Year ,Cashewnut,1.0,1.0
98332,Kerala,2001,Whole Year ,Coconut ,62684.0,343000000.0
130800,Maharashtra,2008,Whole Year ,Sugarcane,102500.0,8461300.0
35277,Bihar,2008,Summer     ,Rice,13499.0,21753.0
148867,Odisha,2005,Winter     ,Rice,167000.0,312000.0
105039,Madhya Pradesh,2012,Whole Year ,Onion,119.0,1065.0
235550,Uttarakhand,2007,Rabi       ,Wheat,28357.0,34275.0
29100,Bihar,2006,Rabi       ,Wheat,52751.0,114505.0
158310,Odisha,2006,Winter     ,Sugarcane,232.0,13347.7
214919,Uttar Pradesh,2003,Whole Year ,Potato,251.0,5250.0
128156,Maharashtra,2003,Kharif     ,Rice,142700.0,206900.0
205288,Uttar Pradesh,2011,Rabi       ,Onion,55.0,1258.0
163307,Punjab,2006,Kharif     ,Rice,168000.0,711000.0
28473,Bihar,2002,Whole Year ,Potato,1923.0,15034.0
98477,Kerala,2009,Winter     ,Rice,5121.0,10622.0
242078,West Bengal,2013,Rabi       ,Wheat,82.0,198.0
185696,Tamil Nadu,2001,Kharif     ,Rice,192161.0,561650.0
15368,Assam,2013,Whole Year ,Potato,5245.0,42977.0
192251,Telangana ,2007,Whole Year ,Sugarcane,2000.0,172000.0
133203,Maharashtra,2001,Rabi       ,Wheat,27000.0,25300.0
83185,Karnataka,2014,Summer     ,Potato,3.0,41.0
116852,Madhya Pradesh,2013,Kharif     ,Rice,80645.0,91512.0
154762,Odisha,2011,Winter     ,Rice,138000.0,247000.0
145049,Nagaland,2011,Rabi       ,Potato,160.0,1440.0
26785,Assam,2008,Whole Year ,Potato,6181.0,30700.0
213149,Uttar Pradesh,2011,Rabi       ,Onion,43.0,984.0
147623,Odisha,2006,Winter     ,Sugarcane,934.0,60045.0
222759,Uttar Pradesh,2006,Rabi       ,Potato,6247.0,92481.0
157120,Odisha,2013,Summer     ,Wheat,9.0,5.9
84632,Karnataka,2003,Rabi       ,Wheat,803.0,637.0
185888,Tamil Nadu,2007,Whole Year ,Onion,16.0,154.0
140474,Meghalaya,2010,Rabi       ,Wheat,1.0,1.0
14576,Assam,2007,Winter     ,Rice,34552.0,34188.0
21913,Assam,2013,Autumn     ,Rice,1255.0,1576.0
203786,Uttar Pradesh,2010,Rabi       ,Potato,238.0,5806.0
14745,Assam,2012,Rabi       ,Wheat,614.0,616.0
71611,Himachal Pradesh,2005,Whole Year ,Potato,24.0,69.0
8305,Andhra Pradesh,2011,Kharif     ,Rice,109505.0,166766.0
75262,Jammu and Kashmir ,2008,Rabi       ,Potato,40.0,1322.9
170946,Rajasthan,2005,Whole Year ,Sugarcane,10.0,761.0
198973,Uttar Pradesh,2006,Rabi       ,Potato,5313.0,126619.0
194797,Telangana ,2008,Whole Year ,Sugarcane,166.0,12868.0
19575,Assam,2003,Whole Year ,Potato,1495.0,8550.0
1716,Andhra Pradesh,2013,Whole Year ,Cashewnut,75.0,24.0
90756,Karnataka,2003,Whole Year ,Tomato,7.0,52.0
81479,Karnataka,2011,Kharif     ,Potato,60.0,496.0
130660,Maharashtra,2002,Summer     ,Rice,500.0,1500.0
235295,Uttarakhand,2012,Kharif     ,Potato,115.0,978.0
157890,Odisha,2005,Summer     ,Rice,4000.0,7000.0
208585,Uttar Pradesh,2012,Summer     ,Onion,106.0,1153.0
22413,Assam,2010,Whole Year ,Onion,335.0,938.0
53255,Chhattisgarh,2002,Whole Year ,Onion,247.0,1834.0
67257,Haryana,2005,Whole Year ,Sugarcane,2561.0,160000.0
15543,Assam,2001,Whole Year ,Potato,2740.0,11257.0
131071,Maharashtra,2002,Kharif     ,Rice,20700.0,9200.0
18636,Assam,2008,Whole Year ,Potato,1700.0,14879.0
43055,Bihar,2001,Rabi       ,Wheat,19323.0,30904.0
58810,Gujarat,2008,Kharif     ,Rice,14600.0,24400.0
238921,West Bengal,2007,Autumn     ,Rice,4788.0,12599.0
88455,Karnataka,2006,Rabi       ,Rice,4237.0,5543.0
57834,Gujarat,2010,Rabi       ,Wheat,55000.0,208200.0
86625,Karnataka,2001,Whole Year ,Coconut ,415.0,1982.0
144438,Nagaland,2012,Kharif     ,Sugarcane,330.0,14230.0
142588,Mizoram,2002,Whole Year ,Sugarcane,82.0,440.0
56327,Chhattisgarh,2005,Whole Year ,Potato,5939.0,27845.0
17235,Assam,2001,Rabi       ,Wheat,59.0,70.0
16423,Assam,2010,Whole Year ,Onion,550.0,1430.0
63583,Gujarat,2012,Rabi       ,Wheat,7200.0,25700.0
129218,Maharashtra,2007,Whole Year ,Sugarcane,4.0,269.0
122616,Madhya Pradesh,2011,Whole Year ,Sugarcane,941.0,17780.0
159662,Odisha,2005,Autumn     ,Rice,13000.0,16000.0
163793,Punjab,2004,Kharif     ,Rice,250000.0,965000.0
105036,Madhya Pradesh,2012,Rabi       ,Wheat,94920.0,358415.0
216893,Uttar Pradesh,2009,Kharif     ,Sugarcane,1663.0,85415.0
198709,Uttar Pradesh,2013,Rabi       ,Onion,28.0,570.0
184111,Tamil Nadu,2008,Kharif     ,Rice,96386.0,179770.0
125006,Madhya Pradesh,2007,Kharif     ,Rice,502.0,404.0
14543,Assam,2007,Autumn     ,Rice,15899.0,12476.0
244037,West Bengal,2008,Autumn     ,Rice,42118.0,79878.0
96607,Karnataka,2012,Whole Year ,Sugarcane,1747.0,147709.0
10314,Arunachal Pradesh,2001,Rabi       ,Wheat,470.0,795.0
17277,Assam,2002,Whole Year ,Potato,250.0,1954.0
7509,Andhra Pradesh,2010,Whole Year ,Cashewnut,23355.0,8442.0
4055,Andhra Pradesh,2014,Whole Year ,Rice,45885.0,165837.0
117228,Madhya Pradesh,2009,Whole Year ,Potato,209.0,2677.0
121210,Madhya Pradesh,2009,Whole Year ,Sugarcane,16.0,360.0
236812,West Bengal,2009,Rabi       ,Wheat,7388.0,20855.0
3880,Andhra Pradesh,2012,Kharif     ,Sugarcane,785.0,59550.0
33508,Bihar,2003,Whole Year ,Onion,174.0,2225.0
205251,Uttar Pradesh,2010,Kharif     ,Sugarcane,33496.0,1758808.0
220580,Uttar Pradesh,2008,Rabi       ,Potato,2630.0,29419.0
97984,Karnataka,2014,Whole Year ,Coconut ,168.0,1499.0
75582,Jammu and Kashmir ,2013,Rabi       ,Wheat,33571.0,53929.0
187480,Tamil Nadu,2008,Whole Year ,Cashewnut,3.0,2.0
152198,Odisha,2012,Winter     ,Sugarcane,322.0,24729.6
42341,Bihar,2010,Autumn     ,Rice,35239.0,24730.0
104147,Madhya Pradesh,2013,Rabi       ,Wheat,47358.0,136202.0
107,Andaman and Nicobar Islands,2006,Whole Year ,Sugarcane,71.3,1500.0
227635,Uttar Pradesh,2014,Rabi       ,Potato,1183.0,39700.0
15797,Assam,2009,Summer     ,Rice,4462.0,3862.0
154641,Odisha,2006,Summer     ,Rice,2000.0,4000.0
81254,Karnataka,2006,Kharif     ,Rice,7077.0,4449.0
73018,Himachal Pradesh,2010,Kharif     ,Rice,19481.0,30528.0
16855,Assam,2006,Whole Year ,Potato,588.0,4263.0
176818,Rajasthan,2006,Whole Year ,Sugarcane,490.0,36712.0
69555,Haryana,2008,Rabi       ,Wheat,15511.0,39000.0
82650,Karnataka,2004,Kharif     ,Rice,14425.0,48511.28
76267,Jharkhand,2007,Winter     ,Potato,147.68,1114.0
88736,Karnataka,2012,Kharif     ,Onion,741.0,3934.0
73992,Jammu and Kashmir ,2002,Rabi       ,Wheat,163.0,410.0
91998,Karnataka,2006,Kharif     ,Rice,39882.0,141720.0
